lizard,gender,mass,length.mm,area.ha
a,m,24.5,95,1.7556367431640625
aa,f,24.5,85,5.064453125000001e-4
ab,f,29,100,1.8649129638671875
ac,f,25,96,0.6592162353515625
b,f,27,102,0.105697021484375
c,m,42.5,107,3.1882464599609377
d,m,24,89,1.4849908935546876
e,m,24.5,93,5.0634765625e-5
f,m,35.5,95,1.5195312500000002e-4
h,m,37,103,0.850256689453125
i,f,23.5,93,0.14677177734375002
j,f,23,92,0.3435841796875
k,m,29,104,1.4167439697265625
n,f,29,97,0.4648340087890625
o,m,39.5,106,3.1757184326171877
p,f,41.5,104,3.6761754882812503
r,f,25,89,0.1751904296875
s,f,29.5,96,0.5667117919921876
t,m,36,104,0.543605126953125
u,m,26,82,0.25834509277343753
v,m,33.5,93,0.654881982421875
w,m,48,109,1.5674429443359377
y,f,21,86,0.035859814453125
z,f,24,102,3.8675354003906253
