lizard,frequency,captured,released,gender,radio.frequency,mass,length.mm
a,0,6/2/16,6/4/16,m,151,24.5,95
b,180,6/2/16,6/4/16,f,151.18,27,102
c,220,5/19/16,5/21/16,m,151.22,42.5,107
d,240,5/19/16,5/21/16,m,151.24,24,89
e,320,6/2/16,6/4/16,m,151.32,24.5,93
f,360,6/2/16,6/4/16,m,151.36,35.5,95
g,381,6/17/16,6/18/16,m,151.381,,
h,420,6/16/16,6/18/16,m,151.42,37,103
i,439,6/2/16,6/4/16,f,151.439,23.5,93
j,460,6/17/16,6/18/16,f,151.46,23,92
k,500,6/16/16,6/18/16,m,151.5,29,104
l,520,6/17/16,6/18/16,uk,151.52,,
m,540,6/17/16,6/18/16,m,151.54,,103
n,660,6/2/16,6/4/16,f,151.66,29,97
o,680,6/2/16,6/4/16,m,151.68,39.5,106
p,717,6/2/16,6/4/16,f,151.717,41.5,104
q,740,6/16/16,6/18/16,uk,151.74,,
r,760,6/2/16,6/4/16,f,151.76,25,89
s,780,5/19/16,5/21/16,f,151.78,29.5,96
t,800,5/19/16,5/21/16,m,151.8,36,104
u,820,5/19/16,5/21/16,m,151.82,26,82
v,840,5/19/16,5/21/16,m,151.84,33.5,93
w,860,5/19/16,5/21/16,m,151.86,48,109
x,880,6/2/16,6/4/16,f,151.88,33.5,99
y,900,6/2/16,6/4/16,f,151.9,21,86
z,919,6/17/16,6/18/16,f,151.919,24,102
aa,939,6/2/16,6/4/16,f,151.939,24.5,85
ab,960,6/17/16,6/18/16,f,151.96,29,100
ac,979,6/16/16,6/18/16,f,151.979,25,96
