id,freq,gender,area,mcp.overlap,polygons.overlapping
a,0,m,17600,1,1
b,180,f,1060,1,2
c,220,m,31900,1,7
d,240,m,14800,1,3
e,320,m,0.506,0,0
f,360,m,1.52,0,0
g,381,m,4880,1,4
h,420,m,8500,0,0
i,439,f,1470,1,2
j,460,f,3440,1,2
k,500,m,14200,0,0
l,520,uk,11900,1,1
m,540,m,13800,1,2
n,660,f,4650,1,1
o,680,m,31800,1,4
p,717,f,36800,1,1
q,740,uk,3780,1,1
r,760,f,1750,0,0
s,780,f,5670,1,3
t,800,m,5440,1,2
u,820,m,2580,1,3
v,840,m,6550,1,3
w,860,m,15700,1,1
x,880,f,359,1,1
y,900,f,359,1,1
z,919,f,38700,1,2
aa,939,f,5.06,0,0
ab,960,f,18600,1,5
ac,979,f,6590,1,2
